Station Name: BENNETTSBRIDGE G.S.
Station Height: 37 M 
Latitude:52.587  ,Longitude: -7.183


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-nov-1995,0,0.000
02-nov-1995,0,0.000
03-nov-1995,0,0.900
04-nov-1995,0,5.900
05-nov-1995,4,0.000
06-nov-1995,0,5.100
07-nov-1995,0,1.600
08-nov-1995,0,7.900
09-nov-1995,0,6.200
10-nov-1995,0,5.800
11-nov-1995,0,4.300
12-nov-1995,0,0.100
13-nov-1995,0,0.100
14-nov-1995,0,16.200
15-nov-1995,4,0.000
16-nov-1995,0,0.000
17-nov-1995,0,0.000
18-nov-1995,0,0.000
19-nov-1995,0,0.000
20-nov-1995,0,3.100
21-nov-1995,0,0.100
22-nov-1995,0,0.000
23-nov-1995,1,6.700
24-nov-1995,1,5.800
25-nov-1995,1,16.600
26-nov-1995,0,7.300
27-nov-1995,0,4.100
28-nov-1995,0,7.500
29-nov-1995,0,4.000
30-nov-1995,0,4.300
01-dec-1995,0,1.500
02-dec-1995,0,1.800
03-dec-1995,4,0.000
04-dec-1995,0,0.300
05-dec-1995,0,1.700
06-dec-1995,0,0.000
07-dec-1995,0,0.000
08-dec-1995,0,0.000
09-dec-1995,0,0.000
10-dec-1995,0,0.000
11-dec-1995,4,0.000
12-dec-1995,0,0.000
13-dec-1995,4,0.000
14-dec-1995,1,0.300
15-dec-1995,1,0.000
16-dec-1995,1,16.700
17-dec-1995,0,2.300
18-dec-1995,0,1.700
19-dec-1995,0,28.800
20-dec-1995,0,19.500
21-dec-1995,0,13.700
22-dec-1995,0,0.700
23-dec-1995,4,0.000
24-dec-1995,0,0.000
25-dec-1995,0,0.000
26-dec-1995,0,0.000
27-dec-1995,0,0.000
28-dec-1995,4,0.000
29-dec-1995,1,36.800
30-dec-1995,0,32.100
31-dec-1995,1,8.200
01-jan-1996,0,9.000
02-jan-1996,0,7.300
03-jan-1996,0,32.300
04-jan-1996,0,0.200
05-jan-1996,0,19.000
06-jan-1996,0,16.400
07-jan-1996,0,5.500
08-jan-1996,0,2.300
09-jan-1996,0,6.600
10-jan-1996,0,9.200
11-jan-1996,0,14.300
12-jan-1996,0,7.300
13-jan-1996,0,25.500
14-jan-1996,0,6.400
15-jan-1996,4,0.000
16-jan-1996,4,0.000
17-jan-1996,0,3.500
18-jan-1996,0,0.800
19-jan-1996,0,3.400
20-jan-1996,0,2.400
21-jan-1996,0,1.700
22-jan-1996,0,1.900
23-jan-1996,0,3.200
24-jan-1996,1,2.500
25-jan-1996,1,0.000
26-jan-1996,1,0.800
27-jan-1996,0,0.500
28-jan-1996,0,0.000
29-jan-1996,0,0.000
30-jan-1996,0,0.000
31-jan-1996,0,0.000
01-feb-1996,0,0.000
02-feb-1996,0,0.000
03-feb-1996,4,0.000
04-feb-1996,0,24.300
05-feb-1996,0,7.400
06-feb-1996,0,13.200
07-feb-1996,0,5.400
08-feb-1996,0,22.100
09-feb-1996,0,12.500
10-feb-1996,0,2.100
11-feb-1996,0,0.100
12-feb-1996,0,0.000
13-feb-1996,0,0.000
14-feb-1996,0,0.000
15-feb-1996,0,0.000
16-feb-1996,0,0.000
17-feb-1996,0,2.900
18-feb-1996,0,1.500
19-feb-1996,0,0.000
20-feb-1996,0,0.000
21-feb-1996,0,1.700
22-feb-1996,0,2.900
23-feb-1996,0,1.300
24-feb-1996,4,0.000
25-feb-1996,0,0.600
26-feb-1996,0,1.500
27-feb-1996,0,0.000
28-feb-1996,0,0.000
29-feb-1996,0,0.000
01-mar-1996,0,0.000
02-mar-1996,0,0.000
03-mar-1996,0,0.000
04-mar-1996,0,0.000
05-mar-1996,0,0.000
06-mar-1996,0,0.000
07-mar-1996,4,0.000
08-mar-1996,0,5.200
09-mar-1996,0,2.100
10-mar-1996,0,1.300
11-mar-1996,0,22.300
12-mar-1996,0,29.700
13-mar-1996,0,33.500
14-mar-1996,0,4.400
15-mar-1996,0,9.800
16-mar-1996,0,7.500
17-mar-1996,0,1.300
18-mar-1996,0,3.500
19-mar-1996,4,0.000
20-mar-1996,0,0.000
21-mar-1996,0,1.400
22-mar-1996,0,4.700
23-mar-1996,0,14.300
24-mar-1996,0,2.600
25-mar-1996,0,4.100
26-mar-1996,0,3.700
27-mar-1996,0,0.000
28-mar-1996,0,0.000
29-mar-1996,0,0.000
30-mar-1996,0,0.000
31-mar-1996,0,0.000
01-apr-1996,0,0.000
02-apr-1996,0,0.000
03-apr-1996,0,0.000
04-apr-1996,0,0.000
05-apr-1996,0,0.000
06-apr-1996,0,0.000
07-apr-1996,0,0.000
08-apr-1996,0,0.000
09-apr-1996,0,15.100
10-apr-1996,0,1.400
11-apr-1996,0,25.900
12-apr-1996,1,0.300
13-apr-1996,1,7.000
14-apr-1996,1,1.400
15-apr-1996,1,20.800
16-apr-1996,1,9.400
17-apr-1996,1,7.300
18-apr-1996,0,0.500
19-apr-1996,0,6.400
20-apr-1996,0,15.100
21-apr-1996,0,11.500
22-apr-1996,0,2.300
23-apr-1996,0,0.400
24-apr-1996,0,0.700
25-apr-1996,4,0.000
26-apr-1996,0,0.000
27-apr-1996,0,0.000
28-apr-1996,4,0.000
29-apr-1996,0,0.000
30-apr-1996,0,9.000
01-may-1996,1,2.200
02-may-1996,1,0.000
03-may-1996,1,0.000
04-may-1996,1,0.000
05-may-1996,1,0.000
06-may-1996,1,0.000
07-may-1996,1,0.000
08-may-1996,1,0.000
09-may-1996,1,0.000
10-may-1996,1,0.000
11-may-1996,1,0.100
12-may-1996,1,0.200
13-may-1996,1,0.000
14-may-1996,1,0.000
15-may-1996,1,0.000
16-may-1996,1,0.000
17-may-1996,1,0.000
18-may-1996,1,0.700
19-may-1996,1,2.800
20-may-1996,1,4.300
21-may-1996,1,12.800
22-may-1996,1,0.800
23-may-1996,1,9.000
24-may-1996,1,0.000
25-may-1996,1,5.700
26-may-1996,1,2.900
27-may-1996,1,1.700
28-may-1996,1,0.300
29-may-1996,1,11.700
30-may-1996,1,0.700
31-may-1996,1,4.600
01-jun-1996,0,1.200
02-jun-1996,1,13.100
03-jun-1996,0,0.500
04-jun-1996,0,3.100
05-jun-1996,1,2.000
06-jun-1996,0,0.000
07-jun-1996,0,0.000
08-jun-1996,0,1.100
09-jun-1996,0,11.000
10-jun-1996,0,4.100
11-jun-1996,0,0.000
12-jun-1996,0,0.000
13-jun-1996,0,0.000
14-jun-1996,0,0.000
15-jun-1996,0,0.000
16-jun-1996,0,0.000
17-jun-1996,0,0.000
18-jun-1996,0,0.000
19-jun-1996,0,0.000
20-jun-1996,0,0.000
21-jun-1996,0,0.000
22-jun-1996,0,0.000
23-jun-1996,0,0.000
24-jun-1996,0,0.000
25-jun-1996,0,2.200
26-jun-1996,1,0.000
27-jun-1996,1,2.600
28-jun-1996,1,0.000
29-jun-1996,0,0.000
30-jun-1996,1,1.500
01-jul-1996,1,0.800
02-jul-1996,1,18.800
03-jul-1996,1,0.100
04-jul-1996,1,0.000
05-jul-1996,1,0.800
06-jul-1996,1,3.600
07-jul-1996,1,0.000
08-jul-1996,1,0.000
09-jul-1996,1,0.000
10-jul-1996,1,0.000
11-jul-1996,1,1.100
12-jul-1996,1,0.000
13-jul-1996,1,0.000
14-jul-1996,1,0.000
15-jul-1996,1,0.000
16-jul-1996,1,0.000
17-jul-1996,1,0.000
18-jul-1996,1,0.000
19-jul-1996,1,0.000
20-jul-1996,1,0.000
21-jul-1996,1,38.000
22-jul-1996,1,1.300
23-jul-1996,1,0.000
24-jul-1996,1,0.000
25-jul-1996,1,0.000
26-jul-1996,1,1.300
27-jul-1996,1,2.300
28-jul-1996,1,3.000
29-jul-1996,1,3.800
30-jul-1996,1,3.100
31-jul-1996,1,0.400
01-aug-1996,1,0.100
02-aug-1996,1,0.000
03-aug-1996,1,0.000
04-aug-1996,1,0.400
05-aug-1996,1,27.100
06-aug-1996,1,0.000
07-aug-1996,1,3.400
08-aug-1996,1,4.200
09-aug-1996,1,9.300
10-aug-1996,1,8.200
11-aug-1996,1,0.000
12-aug-1996,1,0.000
13-aug-1996,1,0.000
14-aug-1996,1,0.000
15-aug-1996,1,0.000
16-aug-1996,1,0.000
17-aug-1996,1,0.000
